id,label,categories
2," confirmed,c++ code,crash or hang","env,status,type"
3," confirmed,more information required","status,status"
4," confirmed,platform specific","status,topic"
5," confirmed,ui rewrite","status,topic"
6," confirmed,unexpected behaviour","status,topic"
10,"! critical bug,(╯°□°)╯︵ ┻━┻,24pullrequests,up-for-grabs","complex,status,type,unknown"
11,"! critical bug,(╯°□°)╯︵ ┻━┻,up-for-grabs","complex,status,unknown"
12,"! critical bug,up-for-grabs","complex,status"
19,"!!! next major,bug","priority,type"
20,"!!,need info","status,unknown"
21,"!!,v1.x","unknown,version"
22,"!,need info","status,unknown"
26,"!important!,area: client,state: auto-locked,system: resource processing","priority,status,topic,topic"
27,"!important!,area: client,system: resource processing","priority,topic,topic"
28,"!important!,reason: duplicate","priority,status"
29,"!important!,reason: duplicate,state: auto-locked","priority,status,status"
30,"!important!,reason: won't fix","priority,status"
31,"!important!,reason: won't fix,state: auto-locked","priority,status,status"
32,"!important!,state: auto-locked","priority,status"
39,"#accepted,bug","status,type"
44,"#api,@bender","topic,topic"
46,"#app,feature","topic,type"
47,"#app,module","topic,topic"
48,"#app,wontdo","status,topic"
54,"#campaign-runs,medium","priority,topic"
57,"#campaign-template,design-qa,enhancement","topic,topic,type"
58,"#campaign-template,small","topic,unknown"
60,"#campaigns,blocked","status,topic"
65,"#done,bug","status,type"
69,"#global,#message-broker","topic,topic"
70,"#global,#permissions","topic,topic"
71,"#global,@devops","topic,topic"
72,"#global,blocker,priority-high","priority,priority,topic"
73,"#global,bug,medium","priority,topic,type"
74,"#global,no,bug,medium","priority,topic,type,unknown"
77,"#kudos,#user-profile","topic,topic"
80,"#message-broker,email-digest","topic,topic"
83,"#mobile-app,medium","priority,topic"
84,"#mobile-app,medium,priority-high","priority,priority,topic"
88,"#noideadog,help wanted","status,topic"
94,"#reportback,priority-medium","priority,topic"
100,"#sms-games,@bender","topic,topic"
103,"#translation,small","topic,unknown"
106,"#user-profile,small","topic,unknown"
108,"#voter-registration,no","topic,unknown"
113,"#xl,elasticsearch","topic,unknown"
116,"$bounty,help wanted","status,topic"
117,"$data,hypermedia","topic,topic"
119,"$ref,sub issue","topic,topic"
121,"% zsh,:hurtrealbad: major","priority,topic"
122,"% zsh,:hurtrealbad: major,done","priority,status,topic"
123,"%ecx,duplicate","status,topic"
126,"((  stalled  )),enhancement,missing","status,status,type"
127,"((  stalled  )),more work remains","status,status"
131,"(ap) account payable,(mm) material management","topic,topic"
132,"(ap) account payable,01 enhancement","topic,type"
136,"(crm) customer relation management,17 waiting for information","status,topic"
140,"(fm) forecast management,13 pending acceptance","status,topic"
141,"(fm) forecast management,17 waiting for information","status,topic"
143,"(github comment enhancer),wontfix","status,topic"
153,"(ins) installation,09 pending peer review","status,topic"
155,"(low),under investigation","priority,status"
157,"(medium),bug","priority,type"
158,"(medium),gui","priority,topic"
159,"(medium),gui,won't do","priority,status,topic"
160,"(medium),localdaq","priority,topic"
161,"(medium),xdaq related","priority,topic"
163,"(mem/disk)space,low priority","priority,topic"
167,"(pa) performance analysis and general ledger,(ui) user interface improvement","complex,topic"
169,"(pf) report engine & print format,17 waiting for information","status,topic"
171,"(plh) production light,11 waiting for closing","status,topic"
172,"(plh) production light,11 waiting for closing,17 waiting for information","status,status,topic"
174,"(pm) project management,(rm) request management","topic,topic"
175,"(pm) project management,17 waiting for information","status,topic"
182,"(sc) system core,(ui) user interface improvement","complex,topic"
183,"(sc) system core,13 pending acceptance","status,topic"
184,"(sc) system core,17 waiting for information","status,topic"
187,"(so) sales management,02 bug","topic,type"
188,"(so) sales management,11 waiting for closing","status,topic"
190,"(taken),2student","topic,unknown"
192,"(ui) user interface improvement,17 waiting for information","complex,status"
194,"(universal) accessibility,stale","status,topic"
200,"* decks,+ improvement","topic,type"
204,"** urgent **,help wanted,python3","env,priority,status"
205,"** urgent **,python3","env,priority"
208,"**** top priority ****,alpha building: to dropbox","complex,priority"
209,"**** top priority ****,data: character stats & data","priority,topic"
211,"**,bug","type,unknown"
212,"**,unity,bug","topic,type,unknown"
213,"**,uploader","topic,unknown"
214,"*,bug","type,unknown"
218,"*easy,backend","priority,topic"
219,"*easy,backend,child","priority,topic,topic"
220,"*easy,docs","priority,type"
221,"*easy,frontend","priority,topic"
222,"*easy,test","priority,status"
224,"*hard,next","priority,priority"
225,"*java*,*php*","env,env"
226,"*java*,bug","env,type"
228,"*medium,backend","priority,topic"
229,"*medium,frontend","priority,topic"
232,"*out-of-scope,help wanted","status,status"
236,"+ bug,/ upstream","topic,type"
241,"+ gis.lab desktop,in progress","status,topic"
242,"+ gis.lab unit,enhancement","topic,type"
245,"+ gis.lab web,+ gis.lab web plugin","topic,topic"
246,"+ gis.lab web,in progress","status,topic"
248,"+ grass,in progress","status,topic"
252,"+ qgis db manager,in progress","status,topic"
253,"+ qgis db manager,in progress,upstream patch required","complex,status,topic"
254,"+ qgis db manager,upstream patch required","complex,topic"
256,"+ qgis mapserver,upstream patch required","complex,topic"
258,"+10,p3: medium","priority,unknown"
