tag1,tag2,label,description,color,#open issues,#closed issues,#total issues
configuration,Contributor License Agreement,cla: no,,d93f0b,1,13,14
configuration,Contributor License Agreement,cla: yes,,fcfcfc,3,339,342
configuration,merge,merge-to-beta,,006b75,0,7,7
configuration,merge,merge-to-dev,,006b75,0,722,722
configuration,merge,merge-to-stable,,006b75,0,122,122
configuration,move,moved-from-dart-2-beta-3,,fef2c0,1,5,6
configuration,move,moved-from-dart-2-beta-4,,0e8a16,2,9,11
configuration,version,preview-dart-2,,118e7e,1,24,25
development phase,implementation,gardening,,E91E63,112,312,424
development phase,nnbd release,NNBD,Issues related to NNBD Release,fef2c0,232,617,849
development phase,nnbd release,nnbd-migration-correctness-example,Concrete examples of the migration engine producing an incorrect result on a phase 1 package,bfdadc,15,14,29
development phase,patch,stable-patch-candidate,,b60205,1,3,4
development phase,requirement,Epic,,3E4B9E,31,26,57
development phase,testing,fuzz-dust,found with dust fuzz testing,999999,76,52,128
development phase,type,type-design,,ededed,2,11,13
documentation,documentation,docs-api,,f7eda0,12,93,105
documentation,documentation,docs-articles,,f7eda0,1,65,66
documentation,documentation,docs-tools,,f7eda0,1,59,60
documentation,documentation,docs-tutorials,,f7eda0,0,47,47
documentation,type,type-documentation,,ededed,121,289,410
environment,browser,browser-chrome,,fef2c0,3,19,22
environment,browser,browser-firefox,,fef2c0,5,18,23
environment,browser,browser-ie,,fef2c0,6,36,42
environment,browser,browser-safari,,fef2c0,5,11,16
environment,os,os-android,,fef2c0,5,4,9
environment,os,os-fuchsia,,fef2c0,4,9,13
environment,os,os-linux,,fef2c0,1,66,67
environment,os,os-osx,,fef2c0,6,44,50
environment,os,os-windows,,fef2c0,22,173,195
environment,process/position,P0,,e11d21,0,447,447
environment,process/position,P1,,eb6420,40,3581,3621
environment,process/position,P2,,fbca04,1092,2451,3543
environment,process/position,P3,,bfe5bf,287,934,1221
environment,process/position,P4,,DDDDDD,16,10,26
environment,vm,vm-aot-code-size,Related to improvements in AOT code size,8453b2,35,14,49
environment,vm,vm-debugger,,d4c5f9,9,86,95
