tag1,tag2,label,description,color,#open issues,#closed issues,#total issues
configuration,bot,bot-proposal,,ea93e3,5,11,16
configuration,bot,issue-bot,Issues concerning the issue bot!,1d76db,5,0,5
configuration,configuration,config,VS Code configuration set up issues,c5def5,47,315,362
configuration,engineering,engineering,VS Code - Build / issue tracking / etc.,fbca04,27,394,421
configuration,license,license,VS Code and component license issues,0e8a16,3,8,11
configuration,marketpalce,marketplace,Microsoft VS Code Marketplace issues,c5def5,24,28,52
configuration,notebook,notebook,,c5def5,43,78,121
configuration,sandbox,sandbox,Running VSCode in a node-free environment,c5def5,1,0,1
configuration,scm,git,GIT issues,c5def5,137,1850,1987
configuration,scm,merge-conflict,Merge conflict decorations and actions,1d76db,12,49,61
configuration,scm,scm,General SCM compound issues,c5def5,48,314,362
configuration,web,web,Issues related to running VSCode in the web,1d76db,50,180,230
configuration,website,vscode-website,Microsoft VS Code website issues,c5def5,1,2,3
development phase,build,broken-build,Broken current build issues,e11d21,7,96,103
development phase,build,vscode-build,VS Code build process issues,c5def5,0,108,108
development phase,design,*as-designed,Described behavior is as designed,E2A1C2,1,2014,2015
development phase,design,callhierarchy,,c5def5,5,23,28
development phase,design,dependencies,Pull requests that update a dependency file,0366d6,0,5,5
development phase,implementation,debt,Code quality issues,dcdcdc,113,1282,1395
functionality,source format func.,formatting,Source formatter issues,c5def5,11,222,233
development phase,implementation,polish,Cleanup and polish issue,fbca04,60,446,506
development phase,implementation,rename,,c5def5,3,34,37
development phase,implementation,uri,,c5def5,4,61,65
development phase,implementation,variable-resolving,,1d76db,11,8,19
development phase,installation,install-update,VS Code installation and upgrade system issues,c5def5,73,908,981
issue status,awaiting,awaiting-insiders-release,Issues that have been closed but are not yet available in Insiders,e8e00b,0,0,0
development phase,release,candidate,Issue identified as probable candidate for fixing in the next release,fbca04,0,653,653
development phase,release,endgame-plan,VS Code - Next release plan for endgame,dcdcdc,0,63,63
development phase,release,iteration-plan,VS Code - Upcoming iteration plan,dcdcdc,1,49,50
development phase,release,iteration-plan-draft,VS Code - Upcoming iteration plan (Draft),dcdcdc,0,0,0
development phase,release,on-release-notes,Issue mentioned in release notes,E2A1C2,0,48,48
development phase,release,plan-item,VS Code - planned item for upcoming,dcdcdc,20,268,288
development phase,release,release-notes,Release notes issues,c5def5,1,202,203
development phase,release,snap,Issues related to the snap package,c5def5,7,38,45
development phase,test,integration-test,Integration test failure,c5def5,7,30,37
development phase,test,invalid-testplan-item,,e11d21,0,0,0
development phase,test,on-testplan,VS Code - Issue added to test plan,E2A1C2,2,787,789
development phase,test,smoke-test,Smoke test issue,c5def5,1,87,88
development phase,test,testplan-item,Test plan item/assignments for upcoming release,dcdcdc,1,1301,1302
development phase,test,unit-test,Unit Test failure,c5def5,3,11,14
environment,device,gpu,Issues concerning GPU related items,c5def5,18,79,97
environment,device,touch/pointer,Touch and Pointer Device support related issues,1d76db,2,1,3
environment,device,trackpad/scroll,Trackpad device issues,c5def5,9,53,62
environment,extension,*caused-by-extension,Issue identified to be caused by an extension,E2A1C2,0,3432,3432
environment,extension,*extension-candidate,Issue identified as good extension implementation,d4c5f9,0,1310,1310
environment,extension,extension-host,Extension host issues,c5def5,15,86,101
environment,extension,extension-recommendations,Extension recommendations issues,c5def5,3,0,3
environment,extension,extensions,Issues concerning extensions,1d76db,230,2591,2821
environment,extension,extensions-development,Issues for developing extensions,1d76db,7,14,21
environment,extension,samples,Extension samples,1d76db,0,3,3
environment,extension,VIM,VIM issue,c5def5,7,58,65
environment,os,ios,,006b75,5,12,17
environment,os,ipc,Interprocess communication system issues,c5def5,0,9,9
environment,os,linux,Issues with VS Code on Linux,006b75,72,776,848
environment,os,mac,Issues with VS Code on MAC/OS X,006b75,53,450,503
environment,os,macos-catalina,,006b75,7,14,21
environment,os,mojave,VS Code on OS X Mojave issues,006b75,3,20,23
environment,os,virtual-machine,Issues related to virtualbox parallels etc,1e0b7f,1,1,2
environment,os,windows,VS Code on Windows issues,006b75,133,832,965
environment,web browser,chromium,Issues and items related to Chromium,006b75,31,5,36
environment,web browser,edge,Issues running VSCode in Web on Edge,006b75,0,2,2
environment,web browser,firefox,Issues running VSCode in Web on Firefox,006b75,9,25,34
environment,web browser,safari,Issues running VSCode in Web on Safari,006b75,10,26,36
functionality,api,api,Issues & items concerning the VS Code extension API,1d76db,235,1279,1514
functionality,api,api-finalization,Issues and discussion for finalization of new API functionality,c5def5,7,93,100
